Book	Chapter	Verse	ID	SupportReference	OrigQuote	Occurrence	GLQuote	OccurrenceNote
GEN	1	1	ax17	figs-abstractnouns	בְּ⁠רֵאשִׁ֖ית	1	In the beginning	“At the beginning {of time/everything}” or “{Everything} began when”. Many Bible scholars think that verse one records God’s first act in creating the universe. This is also the traditional, historically-held view and fits with the narrative structure of the Hebrew text, as well as the wider context of Scriptures which states that God created everything out of nothing at the very beginning of the world (Psalm 33:6, 9; Hebrews 11:3). See the chapter introduction for more details about different interpretations of Genesis 1:1. Also, some languages must use a verb (“began”) in verse 1 rather than a noun (“beginning”). Do what is best in your language. (See: [[rc://en/ta/man/translate/figs-abstractnouns]])
GEN	1	1	ic3y	translate-key-terms	אֱלֹהִ֑ים	1	God	Translate the title “God” in a way that refers to the Supreme Being who created everything, who has complete power, who knows everything and is present everywhere. He is the only true God and has always existed. (See: [[rc://en/ta/man/translate/translate-key-terms]])
GEN	1	1	th1c	translate-key-terms	בָּרָ֣א	1	created	“made”. In the Hebrew Bible, the verb “create” refers to an activity that only God does, and it often implies (as it does here) that he made something out of nothing. Also, the forms of the verbs in the Hebrew text (and the conjunctions) show that chapter one is a narrative that tells about true history and events in the order that things actually happened. Make sure that your translation does the same thing. (See: [[rc://en/ta/man/translate/translate-key-terms]])
GEN	1	1	k70s	translate-key-terms	אֵ֥ת הַ⁠שָּׁמַ֖יִם	1	the heavens	“the sky”. This phrase refers here to the region where all the stars and planets would later exist. Keep that in mind as you translate this term. (See: [[rc://en/ta/man/translate/translate-key-terms]])
GEN	1	1	c00a	translate-key-terms	וְ⁠אֵ֥ת הָ⁠אָֽרֶץ	1	and the earth.	This phrase refers to the planet earth. (See: [[rc://en/ta/man/translate/translate-key-terms]])
GEN	1	2	u0s6		וְ⁠הָ⁠אָ֗רֶץ	1	Now the earth	“Now {at first after that,} the earth” or “{At first after that,} the earth”. The author pauses here to describe what the earth was like after God first created it (verse 1). Some languages use a conjunction like “Now” to introduce that information; other languages do not use a conjunction here. Do what is natural in your language. Also, be consistent here with how you translated “the earth” in verse 1.
GEN	1	2	je1w		הָיְתָ֥ה תֹ֨הוּ֙ וָ⁠בֹ֔הוּ	1	was formless and empty,	It is not clear what the earth looked like at that time, but it did not have its present shape and order. Also, the Hebrew text is ambiguous here. It can mean (1) “was formless/shapeless and empty/desolate,” or “did not have {its present} form, and there was nothing {living} on it {yet},” (2) “completely empty/desolate,” which is a hendiadys. However it is best to keep both terms separate in your translation (as in the first interpretation).
GEN	1	2	ehsa		וְ⁠חֹ֖שֶׁךְ עַל פְּנֵ֣י תְה֑וֹם	1	and darkness {was} over the surface of the deep {waters},	“It was {totally/completely} dark, there was deep {water} {everywhere},” or “There was deep {water} {everywhere} {that was covered/surrounded} in/by {complete/total} darkness,” For some languages it is more natural to begin a new sentence here. Do what is best in your language.
GEN	1	2	l2hu		וְ⁠ר֣וּחַ אֱלֹהִ֔ים מְרַחֶ֖פֶת	1	and the Spirit of God was hovering	The Hebrew text is ambiguous here. It can mean (1) “and God’s Spirit was hovering/moving” (2) “and a wind from God was blowing” (3) “and a powerful wind was blowing”. The first interpretation is most likely, since the Hebrew verb “hovering” does not describe what wind does.
GEN	1	2	vyre		עַל פְּנֵ֥י הַ⁠מָּֽיִם	1	over the surface of the waters.	“over the surface of the water.” or “above the waters/water.” Throughout this chapter, the word “waters” is in the plural in the Hebrew text. For some languages it is more natural to use the singular “water”. Do what is best in your language in each context.
GEN	1	3	qe1j	writing-quotations	וַ⁠יֹּ֥אמֶר אֱלֹהִ֖ים	1	Then God said,	“Then God commanded,” What God says in verse 3 is a command. Consider whether or not it is best in your language to make that explicit in this quote margin. (See: [[rc://en/ta/man/translate/writing-quotations]])
GEN	1	3	a4w4		יְהִ֣י א֑וֹר	1	“Let there be light.”	“Let light exist.” or “I command there to be light.” or “I command light to start shining!” This is a command, not permission or a suggestion. It is a direct quote of what God actually said, and it is usually put between quotation marks in a translation. If you use an exclamation mark with this command in your translation, make sure it does not mean or imply that God was angry. Also, the way you translate “light” should refer to what shines from a source of light; it does not refer here to the source itself.
GEN	1	3	opxl		וַֽ⁠יְהִי אֽוֹר	1	And there was light.	“And/So {immediately} there was light.” or “And {so/immediately} light started shining.” Light began to shine immediately as a result of God’s command.
GEN	1	4	zfnn	grammar-connect-words-phrases	וַ⁠יַּ֧רְא אֱלֹהִ֛ים	1	And God saw	“And he saw/observed” or “God/He saw/observed”. Notice that Hebrew frequently uses a conjunction such as “And” or “Then” at the beginning of a sentence. Some languages do not use conjunctions as frequently as Hebrew does. Do what is accurate and natural in your language in each context. (See: [[rc://en/ta/man/translate/grammar-connect-words-phrases]])
GEN	1	4	l24u	translate-key-terms	אֶת הָ⁠א֖וֹר כִּי ט֑וֹב	1	the light, that {it was} good.	“that the light {was} good/excellent.” In the Bible, “good” is an important theme. Throughout chapter one, it especially means that what God created was high quality, complete, and had no defects; in other words, it had all the characteristics and functions that God intended it to have. It also includes the idea that what God created was untainted by sin and reflected his good character (Psalm 19:1; Romans 1:20). The focus here is not on how pleased or satisfied God was. (See: [[rc://en/ta/man/translate/translate-key-terms]])
GEN	1	4	zt0z	writing-pronouns	וַ⁠יַּבְדֵּ֣ל אֱלֹהִ֔ים	1	Then God	“Then he”. In order to produce an accurate and natural translation, it is important in each context to make sure that nouns (such as “God”) and pronouns (such as “he”) are used properly in your language. In the Hebrew text, “God” is repeated frequently in chapter one to emphasize him and show that he is in focus. For some languages it is more natural to say “God” only once at the beginning of each paragraph or section, and then use pronouns to refer to him the rest of the time (or most of the time). Throughout chapter one, do what is best in your language each time that God is referred to. (See: [[rc://en/ta/man/translate/writing-pronouns]])
GEN	1	4	ynnj		וַ⁠יַּבְדֵּ֣ל בֵּ֥ין הָ⁠א֖וֹר וּ⁠בֵ֥ין הַ⁠חֹֽשֶׁךְ	1	separated between the light and the darkness.	“separated/divided the light from the darkness {so that each had its own time}.” or “caused the light to have its own time and the darkness to have its own time.” or “separated the light from the darkness {so that it would be light for a number of hours, and then dark for a number of hours}.”
GEN	1	5	k92z	grammar-connect-words-phrases	וַ⁠יִּקְרָ֨א אֱלֹהִ֤ים	1	And God called	“Then God/he called/named” or “God/He called/named”. Some languages omit the connecting word “And” or “Then” here. Consider the best way in your language to connect this sentence with the previous one. (See: [[rc://en/ta/man/translate/grammar-connect-words-phrases]])
GEN	1	5	v4xk		לָ⁠אוֹר֙ י֔וֹם	1	the light Day,	“the light Daytime.” Notice that in this context the word “Day” refers only to the time when the sun is shining, not to the 24-hour time period that makes up a complete day. Make sure that this is clear in your translation. Throughout chapter one, some translations use quote marks around the names that God gives the different things he created.
GEN	1	5	vagh		וְ⁠לַ⁠חֹ֖שֶׁךְ קָ֣רָא לָ֑יְלָה	1	and the darkness he called Night.	“and the darkness he called/named Nighttime.” or “and he called/named the darkness Nighttime.” In the Hebrew text, “the darkness” is first in this clause to emphasize the contrast between the light and the darkness. Consider the best way to translate this clause in your language.
GEN	1	5	ibn4	grammar-connect-time-sequential	וַֽ⁠יְהִי עֶ֥רֶב וַֽ⁠יְהִי בֹ֖קֶר	0	Then there was evening, and there was morning,	“Then evening came and {then/later} morning came,” The evening and the morning are the parts of a 24-hour day that separate the hours of daytime (light) from the hours of nighttime (darkness): Evening came at the end of each daytime after God finished his work of creating. Then after about 12 hours of nighttime, morning came, which began the next 12 hours of daytime when God did more work. Make sure your translation does not sound like morning came immediately after evening. Some languages have a one-word conjunction that means “and then” or “and later” that fits well here. (See: [[rc://en/ta/man/translate/grammar-connect-time-sequential]])
GEN	1	5	cbfn	translate-ordinal	י֥וֹם אֶחָֽד	1	one day.	“{and that was} day one.” or “{and that was} {the end of} the first day.” Here “day” refers to a full 24-hour day. Also, the Hebrew text uses a cardinal number (“one”) here, but then uses ordinal numbers (“second”, “third”, and so on) for the rest of the days of creation week. Some languages need to use an ordinal number (“first”) here too. Other languages use cardinal numbers throughout (“day one”, “day two”, and so on). Do what is best in your language. (See: [[rc://en/ta/man/translate/translate-ordinal]])
GEN	1	6	qgjp	writing-quotations	וַ⁠יֹּ֣אמֶר אֱלֹהִ֔ים	1	Then God said,	“Then God commanded,” See how you translated this phrase in verse 3. (See: [[rc://en/ta/man/translate/writing-quotations]])
GEN	1	6	b07i		יְהִ֥י רָקִ֖יעַ	1	“Let there be an expanse	“Let there be a large/vast space” or “I command there to be a {large/vast} expanse/space” or “I command a large/vast space to form/exist”. The Hebrew word for “expanse” here describes a large space that is “spread out.” It was not solid, rather it was open and empty and could be seen through and flown through (verse 20). It was probably also curved, following the spherical shape of the earth. See how you translated “Let there be” in verse 3.
GEN	1	6	h25k		בְּ⁠ת֣וֹךְ הַ⁠מָּ֑יִם	1	in the middle of the waters,	“in the middle of the water,” See how you translated “waters” in verse 2.
GEN	1	6	jqx5		מַ֖יִם לָ⁠מָֽיִם	1	and let it separate the waters from the waters.”	“and let it separate/divide the water {above it} from the water {below it}.” or “so that it separates/divides the waters/water into two separate/different places.”
GEN	1	7	coip		וַ⁠יַּ֣עַשׂ אֱלֹהִים֮	1	So God made	“In that way God/he made/created” or “That is how God/he made/created”. Verse 7 explains what God’s command in verse 6 caused to happen, and it repeats some of the same words and phrases. Make sure that your translation of these verses does not sound like God created the expanse twice.
GEN	1	7	k473		אֶת הָ⁠רָקִיעַ֒	1	the expanse	“a large/vast space”
