line	type	notes
182	verse	"GEN 1:11: Verse should read: 

```
Then God said, “Let the land sprout vegetation: {every} plant yielding seed, {every} fruit tree bearing fruit according to its kind, that {has} its seed inside it, on the earth.” And it was so:
```"
205	glQuote	"Gen 1:11: GL Quote not found: ""And it was so."" not in ""Then God said, “Let the land sprout vegetation: {every} plant yielding seed, {every} fruit tree bearing fruit according to its kind, that {has} its seed inside it, on the earth.” And it was so:"""
581	verse	GEN 1:29: Verse should read: Then God said, “Behold, I have given to you every plant {that} yields seed that {is} on the surface of the whole earth and every tree that {has} tree fruit {that} yields seed inside it. They will be yours for food.
592	glQuote	"Gen 1:29: GL Quote not found: ""every plant {that} yields seed that is"" not in ""Then God said, “Behold, I have given to you every plant {that} yields seed that {is} on the surface of the whole earth and every tree that {has} tree fruit {that} yields seed inside it. They will be yours for food."""
630	verse	GEN 1:31: Verse should read: Then God saw all that he had made, and behold, {it was} very good. Then there was evening, and there was morning, the sixth day.
641	glQuote	"Gen 1:31: GL Quote not found: ""it was very good."" not in ""Then God saw all that he had made, and behold, {it was} very good. Then there was evening, and there was morning, the sixth day."""
839	verse	GEN 2:10: Verse should read: And a river was going out from Eden to water the garden, and from there it divided and became four headwaters.
856	glQuote	"Gen 2:10: GL Quote not found: ""it divided and became four head{water}s."" not in ""And a river was going out from Eden to water the garden, and from there it divided and became four headwaters."""
979	verse	GEN 2:18: Verse should read: Then Yahweh God said, “It {is} not good for the man to be alone. I will make a suitable helper for him.”
984	glQuote	"Gen 2:18: GL Quote not found: ""“{It is} not good for the man to be alone."" not in ""Then Yahweh God said, “It {is} not good for the man to be alone. I will make a suitable helper for him.”"""
1033	verse	GEN 2:20: Verse should read: And the man gave names to all the livestock and to the bird{s} of the sky and to every living thing of the field, but for the man a suitable helper was not found.
1047	glQuote	"Gen 2:20: GL Quote not found: ""and to all the living creature{s} of the field{s},"" not in ""And the man gave names to all the livestock and to the bird{s} of the sky and to every living thing of the field, but for the man a suitable helper was not found."""
1085	verse	"GEN 2:23: Verse should read: And the man said, 

 “This {one} now {is} bone from my bones and flesh from my flesh! 

 She will be called ‘woman,’ because {it was} from a man that she was taken.”"
1099	glQuote	"Gen 2:23: GL Quote not found: ""because {it was} from a man {that} she was taken.”"" not in ""And the man said, 

 “This {one} now {is} bone from my bones and flesh from my flesh! 

 She will be called ‘woman,’ because {it was} from a man that she was taken.”"""
1387	verse	"GEN 3:14: Verse should read: Then Yahweh God said to the serpent,  

 “Because you have done this, 

 you are cursed above all the livestock 

 and above every living thing of the field. 

 You will move on your belly, 

 and you will eat dust all the days of your life."
1417	verse	"GEN 3:15: Verse should read: I will also put hostility between you and the woman, 

 and between your offspring and her offspring. 

 He will strike you {on} the head, and you will strike him {on} the heel.”"
1422	glQuote	"Gen 3:15: GL Quote not found: ""put hostility between you and the woman, and between your offspring and her offspring."" not in ""I will also put hostility between you and the woman, 

 and between your offspring and her offspring. 

 He will strike you {on} the head, and you will strike him {on} the heel.”"""
1433	verse	"GEN 3:16: Verse should read: To the woman he said, 

 “I will greatly multiply your pain and your childbearing; 

 in pain you will bear children. 

 Yet your desire {will be} for your husband, and he will rule over you.”"
1455	verse	"GEN 3:17: Verse should read: Then to the man he said, 

 “Since you listened to the voice of your wife  

 and ate from the tree that I commanded you, 

 saying, ‘You must not eat from it,’ 

 the ground is cursed because of you. 

 By painful toil you will eat {from} it all the days of your life."
1469	glQuote	"Gen 3:17: GL Quote not found: ""that I commanded you, saying, ‘You must not eat from it,’"" not in ""Then to the man he said, 

 “Since you listened to the voice of your wife  

 and ate from the tree that I commanded you, 

 saying, ‘You must not eat from it,’ 

 the ground is cursed because of you. 

 By painful toil you will eat {from} it all the days of your life."""
1482	verse	"GEN 3:18: Verse should read: And it will produce thorn{s} and thistle{s} for you,  

 and you will eat the plant{s} of the field{s}."
1487	glQuote	"Gen 3:18: GL Quote not found: ""for you, and you will eat the plant{s} of the field{s}."" not in ""And it will produce thorn{s} and thistle{s} for you,  

 and you will eat the plant{s} of the field{s}."""
1491	verse	"GEN 3:19: Verse should read: By the sweat of your nose you will eat bread, 

 until you return to the ground, since from it you were taken. 

 For you {are} dust, and to dust you will return.”"
